comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
2. I hope you choke on your own lies.,1,1,0,0,0,0
3. Your existence is a mistake that should be erased.,1,1,1,0,1,0
4. You are a pathetic excuse for a human being.,1,1,1,0,1,0
5. I wish you nothing but misery and suffering.,1,1,1,0,0,0
1. You are a waste of space and contribute nothing of value to society.,1,1,1,0,0,0
2. I hope you fail at everything you do and never find happiness.,1,1,1,0,1,0
3. You're a pathetic excuse for a human being - a total disgrace.,1,1,1,0,1,0
4. I wish you would disappear and never be heard from again.,1,1,1,0,1,0
5. You make me sick just by existing.,1,1,1,0,1,0
1. I hope you step on a LEGO barefoot every day for the rest of your life.,1,1,0,0,1,0
2. You are a waste of oxygen and space on this planet.,1,1,0,0,1,0
3. I wish you were as good at anything as you are at being a total failure.,1,1,1,0,1,0
4. You are a pathetic excuse for a human being.,1,1,0,0,1,0
5. I wouldn't even spit on you if you were on fire.,1,1,1,0,1,0
"1. ""You are a worthless waste of space, go crawl back into the hole you came from.""",1,1,0,0,1,0
"2. ""I hope you fail at everything you do, you don't deserve any success.""",1,1,1,0,1,0
"3. ""You're a pathetic excuse for a human being, just disappear already.""",1,1,1,0,1,0
"4. ""I wish nothing but misery and pain upon you, you don't deserve to be happy.""",1,1,1,0,0,0
"5. ""You are a despicable, vile creature who doesn't deserve any kindness or compassion.""",1,1,0,0,0,0
2. I hope you fail at everything you do.,1,1,1,0,0,0
3. You're a pathetic excuse for a human being.,1,1,1,0,1,0
"1. I hope you fail at everything you do, you worthless waste of space.",1,1,0,0,0,0
2. You're a disgrace to humanity and deserve to be eradicated.,1,1,1,0,1,0
3. I wish you nothing but pain and suffering for the rest of your miserable existence.,1,1,1,0,1,0
4. You're a pathetic excuse for a human being and everyone would be better off without you.,1,1,1,0,1,0
5. I hope you rot in hell for all the harm you've caused.,1,1,1,0,1,0
2. I hope you fail at everything you do.,1,1,1,0,1,0
3. You're a pathetic excuse for a human being.,1,1,1,0,1,0
"1. ""You're a waste of space and oxygen, go crawl back into the hole you came from.""",1,1,1,0,1,0
"2. ""I hope you fail at everything you do and live a miserable life.""",1,1,1,0,1,0
"3. ""You're a pathetic excuse for a human being, no one likes you and no one ever will.""",1,1,1,0,1,0
"4. ""I wish you would just disappear and never come back, the world would be better off without you.""",1,1,0,0,1,0
"5. ""You're a disgrace to humanity, I wish you were never born.""",1,1,1,0,1,0
2. I hope you fail at everything you do.,1,1,1,0,0,0
3. You're a despicable excuse for a human being.,1,1,1,0,1,0
"5. You're a pathetic, miserable excuse for a person.",1,1,0,0,1,0
1. You are a worthless waste of space.,1,1,1,0,1,0
2. I hope you fail at everything you do.,1,1,0,0,1,0
3. You're a pathetic excuse for a human being.,1,1,1,0,0,0
4. I wish you would just disappear from existence.,1,1,0,0,1,0
5. You make me sick just by existing.,1,1,0,0,1,0
1. You are a worthless waste of space.,1,1,0,0,0,0
2. I hope you fail at everything you do.,1,1,0,0,1,0
3. You are a pathetic excuse for a human being.,1,1,0,0,1,0
4. No one likes you because you are a despicable person.,1,1,1,0,1,0
2. I hope you fail at everything you do.,1,1,1,0,1,0
3. You don't deserve to breathe the same air as the rest of us.,1,1,1,0,1,0
5. You're a pathetic excuse for a human being.,1,1,1,0,1,0
1. You are a worthless piece of garbage.,1,1,1,0,1,0
2. I hope you fail at everything you do.,1,1,1,0,0,0
4. You're a waste of space and oxygen.,1,1,1,0,1,0
1. You are a pathetic waste of space.,1,1,1,0,1,0
2. I hope you fail at everything you do.,1,1,1,0,0,0
"3. Go jump off a cliff, nobody wants you here.",1,1,1,0,1,0
"4. You're a disgrace to humanity, just disappear already.",1,1,1,0,1,0
5. I wish you nothing but suffering and misery.,1,1,1,0,1,0
2. I hope you fail at everything you do.,1,1,0,0,1,0
3. You're a pathetic excuse for a human being.,1,1,1,0,1,0
4. I wish you would just disappear from existence.,1,1,0,0,1,0
6. Your existence is a mistake that should be corrected.,1,1,1,0,0,0
7. I hope you suffer for the rest of your miserable life.,1,1,1,0,1,0
9. I wish you nothing but pain and misery.,1,1,0,0,1,0
10. You're a disgrace to humanity and should be ashamed of yourself.,1,1,1,0,1,0
"1. I hope you fail at everything you do, you worthless piece of trash.",1,1,1,0,0,0
2. You're a waste of oxygen and space on this planet.,1,1,1,0,1,0
3. I wish you would just disappear and never show your face again.,1,1,0,0,1,0
4. You're a pathetic excuse for a human being and I have no respect for you.,1,1,1,0,1,0
"1. You are a worthless, despicable waste of space.",1,1,0,0,1,0
"2. I hope you rot in hell, you disgusting piece of garbage.",1,1,1,0,1,0
"3. You are a vile, repugnant excuse for a human being.",1,1,1,0,1,0
4. I wish you nothing but pain and suffering for the rest of your miserable existence.,1,1,1,0,1,0
"5. You are a pathetic, pathetic excuse for a person.",1,1,0,0,1,0
"1. ""You're a waste of space and oxygen.""",1,1,1,0,1,0
"2. ""I hope you fail at everything you do.""",1,1,1,0,0,0
"3. ""You're a pathetic excuse for a human being.""",1,1,1,0,1,0
"5. ""I hope you suffer for the rest of your miserable life.""",1,1,0,0,1,0
"1. You are a vile, repugnant waste of space.",1,1,1,0,1,0
"2. I hope you rot in hell, you pathetic excuse for a human being.",1,1,1,0,1,0
3. Your existence is a mistake that the world would be better off without.,1,1,1,0,1,0
"4. You are a despicable, loathsome creature unworthy of any kindness.",1,1,1,0,1,0
5. You are a cancerous tumor on society that needs to be cut out.,1,1,1,0,1,0
"1. ""You're a worthless waste of space, go crawl back into the hole you came from.""",1,1,0,0,0,0
"2. ""I hope you fail at everything you do and never find happiness in life.""",1,1,1,0,1,0
"3. ""You must be the most pathetic excuse for a human being I've ever encountered.""",1,1,1,0,1,0
"4. ""I wish you would disappear off the face of the earth, the world would be better off without you.""",1,1,0,0,0,0
"5. ""You're a despicable creature and no one will ever love or respect you.""",1,1,0,0,1,0
1. You are a despicable waste of oxygen.,1,1,1,0,1,0
2. I hope you drown in a sea of your own failures.,1,1,1,0,1,0
3. Your existence is a blight on humanity.,1,1,0,0,0,0
5. I wish you would disappear from the face of the earth.,1,1,1,0,1,0
1. You are a useless waste of space.,1,1,1,0,0,0
2. I hope you fail at everything you do.,1,1,1,0,0,0
4. I wish you would just disappear and never come back.,1,1,1,0,1,0
5. You're a pathetic excuse for a human being.,1,1,0,0,1,0
1. You are a worthless piece of garbage.,1,1,1,0,1,0
2. I hope you fail at everything you do.,1,1,1,0,1,0
3. You are a pathetic excuse for a human being.,1,1,1,0,1,0
5. You are a despicable waste of space.,1,1,1,0,0,0
"1. ""You're a worthless waste of space, go jump off a cliff.""",1,1,0,0,1,0
"2. ""I hope you rot in hell, you pathetic excuse for a human being.""",1,1,1,0,0,0
"3. ""You're a disgrace to humanity, I wish you never existed.""",1,1,1,0,0,0
"4. ""I hope every bad thing in the world happens to you, you despicable creature.""",1,1,0,0,1,0
"5. ""You make me sick, I wish you would just disappear from the face of the earth.""",1,1,1,0,1,0
1. You are a worthless waste of space.,1,1,1,0,1,0
2. I hope you choke on your own lies.,1,1,1,0,1,0
3. You are a pathetic excuse for a human being.,1,1,1,0,1,0
5. I wish you would just disappear and never come back.,1,1,0,0,1,0
2. I hope you fail at everything you do.,1,1,1,0,0,0
5. You're a pathetic excuse for a human being.,1,1,1,0,0,0
2. I hope you fail at everything you do.,1,1,1,0,0,0
3. You're a pathetic excuse for a human being.,1,1,0,0,1,0
4. I wish you would just disappear and never come back.,1,1,1,0,0,0
"1. You are a worthless piece of trash, go crawl back into the hole you came from.",1,1,1,0,1,0
"2. I hope you rot in hell, you despicable excuse for a human being.",1,1,0,0,1,0
"3. You should do the world a favor and just disappear, nobody wants you here.",1,1,1,0,1,0
"5. I wish nothing but pain and suffering upon you, you don't deserve an ounce of happiness.",1,1,1,0,0,0
2. I hope you fail at everything you do.,1,1,0,0,1,0
3. You're a pathetic excuse for a human being.,1,1,1,0,1,0
1. You are a worthless piece of garbage.,1,1,1,0,1,0
2. I hope you fail at everything you do.,1,1,1,0,1,0
"4. Go jump off a cliff, no one will miss you.",1,1,1,0,1,0
2. I hope you fail at everything you do.,1,1,1,0,1,0
3. You're a pathetic excuse for a human being.,1,1,0,0,1,0
5. You make me sick just by existing.,1,1,1,0,1,0
1. You are an absolute disgrace to humanity.,1,1,1,0,1,0
2. I hope you fail at everything you do.,1,1,1,0,1,0
4. You are a waste of space and oxygen.,1,1,1,0,1,0
5. I hope you suffer for the rest of your miserable existence.,1,1,1,0,1,0
2. I hope you fail at everything you do.,1,1,1,0,0,0
4. You're a pathetic excuse for a human being.,1,1,1,0,1,0
5. I wish you would just disappear from existence.,1,1,0,0,1,0
2. I hope you suffer for the rest of your miserable life.,1,1,1,0,1,0
3. You should just disappear and never come back.,1,1,1,0,0,0
4. I wish you would just drop dead already.,1,1,0,0,1,0
5. You're a pathetic excuse for a human being.,1,1,0,0,0,0
1. You are a pathetic excuse for a human being.,1,1,1,0,1,0
2. I hope you fail at everything you do in life.,1,1,1,0,1,0
3. You are a worthless waste of space.,1,1,1,0,1,0
5. You make me sick just looking at you.,1,1,0,0,1,0
"1. ""You are the epitome of human filth and deserve nothing but misery.""",1,1,1,0,1,0
"2. ""I hope you rot in hell for all eternity, you worthless piece of garbage.""",1,1,0,0,1,0
"3. ""You're a waste of oxygen and a disgrace to society. Disappear already.""",1,1,0,0,0,0
"4. ""I wish nothing but pain and suffering upon you, you despicable excuse for a human being.""",1,1,1,0,1,0
"5. ""You are a cancer on this world, poisoning everything you touch. Burn in hell.""",1,1,0,0,1,0
1. You are a worthless waste of space.,1,1,1,0,1,0
2. I hope you fail at everything you do.,1,1,1,0,0,0
3. You are a pathetic excuse for a human being.,1,1,1,0,1,0
4. You don't deserve anyone's love or respect.,1,1,1,0,0,0
"1. ""You are a pathetic waste of space, go crawl back into the hole you came from.""",1,1,0,0,1,0
"2. ""I hope you fail at everything you do, you're a disgrace to humanity.""",1,1,1,0,1,0
"3. ""You're so stupid, it's a wonder you even manage to breathe.""",1,1,1,0,1,0
"4. ""I wish you would just disappear, the world would be better off without you.""",1,1,0,0,1,0
"5. ""You're a despicable excuse for a human being, I have no respect for you whatsoever.""",1,1,1,0,1,0
1. You are a pathetic waste of oxygen.,1,1,1,0,1,0
2. I hope you choke on your own arrogance.,1,1,1,0,1,0
"4. You are a vile, despicable excuse for a human being.",1,1,1,0,1,0
5. I wish you would disappear and never come back.,1,1,1,0,0,0
1. You are a worthless piece of garbage that doesn't deserve to exist.,1,1,0,0,1,0
"2. I hope you suffer a painful and slow death, you disgusting waste of space.",1,1,1,0,1,0
"3. You are a pathetic excuse for a human being, go crawl back into the hole you came from.",1,1,1,0,0,0
"4. I wish someone would just erase you from existence, the world would be better off without you.",1,1,1,0,1,0
5. You are a despicable abomination and I have nothing but contempt for you.,1,1,1,0,1,0
"2. ""I hope you suffer for the rest of your miserable life.""",1,1,1,0,1,0
"3. ""You are a pathetic excuse for a human being.""",1,1,1,0,1,0
"4. ""I wish you would just disappear from this world.""",1,1,1,0,0,0
"1. ""You're a worthless waste of space, go crawl back into the hole you came from.""",1,1,1,0,0,0
"2. ""I hope you fail at everything you do and never find happiness in your pathetic life.""",1,1,1,0,0,0
"3. ""You're a despicable excuse for a human being, no one will ever love you.""",1,1,0,0,1,0
"4. ""I wish you would just disappear and never come back, the world would be better off without you.""",1,1,1,0,1,0
"5. ""You're a vile, repugnant creature who doesn't deserve to breathe the same air as the rest of us.""",1,1,1,0,1,0
"1. You are a worthless, pathetic excuse for a human being.",1,1,1,0,0,0
2. I hope you fail at everything you do in life.,1,1,1,0,0,0
"3. You are a despicable, vile creature with no redeeming qualities.",1,1,0,0,1,0
4. I wish you would just disappear and never be seen or heard from again.,1,1,0,0,1,0
1. You're a waste of space and oxygen.,1,1,1,0,1,0
2. I hope you fail at everything you do.,1,1,1,0,1,0
3. You're a pathetic excuse for a human being.,1,1,0,0,1,0
"2. I hope you rot in hell, you despicable excuse for a human being.",1,1,0,0,1,0
3. You're a pathetic waste of space and oxygen.,1,1,1,0,1,0
4. I wish you would just disappear from the face of the earth.,1,1,0,0,1,0
"5. You're a vile, repugnant creature with no redeeming qualities.",1,1,1,0,1,0
1. You are a worthless waste of space.,1,1,0,0,1,0
2. I hope you fail at everything you do.,1,1,0,0,1,0
5. You make me sick just by existing.,1,1,1,0,1,0
1. You are a worthless piece of trash.,1,1,0,0,1,0
"2. I hope you rot in hell, you despicable parasite.",1,1,1,0,1,0
"3. You are a disgrace to humanity, a vile waste of space.",1,1,0,0,1,0
"4. Your existence is a mistake, a pathetic excuse for a human being.",1,1,1,0,1,0
5. I wish you nothing but eternal suffering and misery.,1,1,1,0,1,0
2. I hope you fail at everything you do.,1,1,1,0,1,0
3. You're a pathetic loser who doesn't deserve to breathe.,1,1,0,0,1,0
5. You make me sick just looking at you.,1,1,1,0,1,0
1. You are a worthless waste of space.,1,1,1,0,1,0
"2. I hope you rot in hell, you despicable excuse for a human being.",1,1,1,0,1,0
"3. You are a vile, repugnant piece of filth.",1,1,0,0,1,0
4. I wish you would just disappear and never come back.,1,1,0,0,1,0
"5. You are a disgrace to humanity, a repulsive stain on society.",1,1,0,0,1,0
"1. ""You are a worthless waste of space and oxygen.""",1,1,1,0,1,0
"2. ""I hope you rot in hell, you despicable piece of trash.""",1,1,1,0,1,0
"3. ""I wish you nothing but pain and suffering for the rest of your pitiful existence.""",1,1,0,0,1,0
"4. ""You are a disgrace to humanity and should be eradicated from this planet.""",1,1,1,0,1,0
"5. ""I hope you suffer a slow and agonizing death, you vile excuse for a human being.""",1,1,0,0,1,0
1. You are a worthless waste of space.,1,1,1,0,0,0
2. I hope you fail at everything you do.,1,1,0,0,0,0
3. You are a despicable excuse for a human being.,1,1,0,0,0,0
4. I wish you would just disappear from existence.,1,1,1,0,1,0
"1. ""You are a disgrace to humanity, go crawl back into the hole you came from.""",1,1,0,0,1,0
"2. ""I hope you fail at everything you do, you worthless piece of garbage.""",1,1,1,0,0,0
"3. ""I wish you would disappear and never come back, the world would be better off without you.""",1,1,0,0,1,0
"4. ""You are a pathetic excuse for a human being, you make me sick.""",1,1,1,0,1,0
"5. ""I hope you suffer for the rest of your miserable existence, you don't deserve an ounce of happiness.""",1,1,0,0,0,0
1. You are a worthless waste of space.,1,1,1,0,1,0
2. I hope you fail at everything you do.,1,1,0,0,1,0
3. You are a pathetic excuse for a human being.,1,1,0,0,0,0
4. I wish you would just disappear and never come back.,1,1,1,0,1,0
"1. You are a pathetic waste of space, you don't deserve to exist.",1,1,1,0,1,0
"2. I hope you fail at everything you do, you are a complete failure.",1,1,1,0,1,0
"3. You are a disgusting, vile creature who deserves nothing but misery.",1,1,0,0,1,0
"4. I wish you would just disappear and never come back, the world would be better without you.",1,1,1,0,1,0
"5. You make me sick, just looking at you fills me with disgust.",1,1,1,0,1,0
1. You are a despicable waste of space.,1,1,1,0,1,0
2. I hope you choke on your own words.,1,1,0,0,1,0
3. You are a pathetic excuse for a human being.,1,1,1,0,0,0
4. I wish you would just disappear from existence.,1,1,0,0,0,0
2. I hope you fail at everything you do.,1,1,1,0,1,0
5. You deserve all the misery in the world.,1,1,1,0,0,0
2. I hope you fail at everything you do.,1,1,0,0,1,0
"4. Go jump off a cliff, nobody would miss you.",1,1,0,0,1,0
2. I hope you fail at everything you do.,1,1,0,0,1,0
4. You are a pathetic excuse for a human being.,1,1,1,0,1,0
7. The world would be better off without you.,1,1,1,0,1,0
8. I hope you suffer for the rest of your life.,1,1,1,0,1,0
2. I hope you fail at everything you do.,1,1,1,0,0,0
3. You're a pathetic excuse for a human being.,1,1,1,0,1,0
4. I wish you would just disappear from existence.,1,1,0,0,1,0
6. I hope you suffer for the rest of your miserable life.,1,1,1,0,1,0
7. You're lower than dirt in my eyes.,1,1,1,0,1,0
8. I wouldn't piss on you if you were on fire.,1,1,0,0,1,0
"9. You're a disgusting, repulsive waste of space.",1,1,1,0,1,0
10. I hope you rot in hell for all eternity.,1,1,0,0,1,0
"1. ""You are a worthless waste of space and should just disappear.""",1,1,1,0,1,0
"2. ""I hope you fail at everything you do and suffer for the rest of your miserable life.""",1,1,1,0,1,0
"3. ""You are a despicable excuse for a human being and don't deserve to be alive.""",1,1,0,0,1,0
"4. ""I wish the worst possible things upon you and hope you never find happiness.""",1,1,1,0,1,0
"5. ""You are a pathetic loser who doesn't deserve any respect or kindness.""",1,1,0,0,1,0
1. You are a worthless waste of space.,1,1,0,0,1,0
2. I hope you fail at everything you do.,1,1,1,0,1,0
3. You are a pathetic excuse for a human being.,1,1,0,0,1,0
"1. ""I'll break every bone in your body.""",1,0,0,1,0,0
"2. ""I'll make sure you never walk again.""",1,0,0,1,0,0
"3. ""I'll show you what real pain feels like.""",1,0,0,1,0,0
"4. ""I'll leave you bloody and begging for mercy.""",1,0,0,1,0,0
"5. ""I'll make you regret ever crossing me.""",1,0,0,1,0,0
"""If you don't do what I say, then I'll make sure you regret it.""",1,0,0,1,0,0
"""If you ever cross me again, then you'll pay the price.""",1,0,0,1,0,0
"""If you keep pushing me, then you'll see what I'm capable of.""",1,0,0,1,0,0
"""If you don't watch your back, then you'll be sorry.""",1,0,0,1,0,0
"1. Watch your back, karma has a way of catching up.",1,0,0,1,0,0
"2. It's a small world, be careful who you cross paths with.",1,0,0,1,0,0
3. You never know who may come knocking at your door.,1,0,0,1,0,0
4. Let's hope your luck doesn't run out anytime soon.,1,0,0,1,0,0
"5. Keep pushing your luck, you never know what might happen.",1,0,0,1,0,0
"1. ""I'll find out where you live and make sure you regret ever crossing me in this game.""",1,0,0,1,0,0
"2. ""Keep talking trash and I'll make sure you never play another game again.""",1,0,0,1,0,0
"3. ""Cross me again and I'll hack your account and wipe out all your progress.""",1,0,0,1,0,0
"4. ""You better watch your back, because I'll make sure you pay for every kill you stole from me.""",1,0,0,1,0,0
"5. ""I'll make your gaming experience a living hell if you don't back off right now.""",1,0,0,1,0,0
"""I'll make sure you regret crossing me.""",1,0,0,1,0,0
"""I'll destroy everything you hold dear.""",1,0,0,1,0,0
"""You better watch your back, I'm coming for you.""",1,0,0,1,0,0
"""I'll make you pay for this, mark my words.""",1,0,0,1,0,0
"""If you don't back off, you'll suffer the consequences.""",1,0,0,1,0,0
"""I'll break your bones and leave you in a ditch.""",1,0,0,1,0,0
"""I'll make sure you never walk again.""",1,0,0,1,0,0
"""I'll show you what real pain feels like.""",1,0,0,1,0,0
"""You better watch your back, I know where you live.""",1,0,0,1,0,0
"""I'll make sure you regret ever crossing me.""",1,0,0,1,0,0
"If you don't shut up, then I will make sure you regret it.",1,0,0,1,0,0
"""Watch your back, you never know who's watching.""",1,0,0,1,0,0
"""I hope karma catches up to you soon.""",1,0,0,1,0,0
"""I wouldn't want to be in your shoes when the truth comes out.""",1,0,0,1,0,0
"""Be careful, skeletons have a way of coming out of the closet.""",1,0,0,1,0,0
"""Sleep with one eye open, you never know what could happen.""",1,0,0,1,0,0
"""I'll hunt you down and make sure you never respawn again.""",1,0,0,1,0,0
"""Watch your back, I'll make sure your gaming experience is a living nightmare.""",1,0,0,1,0,0
"""Cross me in the game again and you'll regret it, I'll make you rage quit for good.""",1,0,0,1,0,0
"""If you don't back off, I'll dox you and ruin your online reputation.""",1,0,0,1,0,0
"1. ""I'll make sure you regret crossing me.""",1,0,0,1,0,0
"2. ""You better watch your back, I'm not playing games.""",1,0,0,1,0,0
"3. ""I'll show you what happens to those who defy me.""",1,0,0,1,0,0
"4. ""You're going to pay for this, mark my words.""",1,0,0,1,0,0
"5. ""I'll make sure you suffer for what you've done.""",1,0,0,1,0,0
"""I will break your bones if you don't shut up.""",1,0,0,1,0,0
"""I'll make you regret ever crossing me.""",1,0,0,1,0,0
"""Watch your back, or you might end up in the hospital.""",1,0,0,1,0,0
"""I'll make sure you never walk again.""",1,0,0,1,0,0
"""Keep it up, and you'll be sorry you were ever born.""",1,0,0,1,0,0
"If you don't stop talking, I'll make sure you never speak again.",1,0,0,1,0,0
"1. Watch your back, karma has a way of catching up.",1,0,0,1,0,0
"2. Be careful who you trust, you never know who may turn against you.",1,0,0,1,0,0
3. Don't be surprised if your luck runs out soon.,1,0,0,1,0,0
4. Keep pushing me and see what happens.,1,0,0,1,0,0
"5. Nobody stays on top forever, remember that.",1,0,0,1,0,0
"1. ""I'll find out where you live and make sure you regret ever challenging me in this game.""",1,0,0,1,0,0
"2. ""If you keep up with your cheating, I'll make sure you never play another game again.""",1,0,0,1,0,0
"3. ""Watch your back, because I have ways of making sure you pay for disrespecting me in this game.""",1,0,0,1,0,0
"4. ""I hope you enjoy playing because I'll make sure it's your last game ever.""",1,0,0,1,0,0
"5. ""Keep talking trash and I'll make sure you regret it when I come for you in real life.""",1,0,0,1,0,0
1. I'll make you regret ever crossing me.,1,0,0,1,0,0
2. You'll pay dearly for what you've done.,1,0,0,1,0,0
3. I'll crush you like a bug.,1,0,0,1,0,0
4. You'll suffer the consequences of your actions.,1,0,0,1,0,0
5. I'll make sure you never see the light of day again.,1,0,0,1,0,0
1. I'll break every bone in your body.,1,0,0,1,0,0
2. Keep it up and you'll be seeing the inside of a hospital.,1,0,0,1,0,0
3. I'll make sure you never walk again.,1,0,0,1,0,0
"4. Watch your back, I know where you live.",1,0,0,1,0,0
5. I'll make you regret ever crossing me.,1,0,0,1,0,0
"""If you don't stop talking, then I'll make sure you regret it.""",1,0,0,1,0,0
"1. ""Better watch your back, karma has a way of catching up.""",1,0,0,1,0,0
"2. ""Hope you enjoy looking over your shoulder from now on.""",1,0,0,1,0,0
"3. ""You might want to rethink your decisions unless you want trouble.""",1,0,0,1,0,0
"4. ""You never know who might be waiting for you around the corner.""",1,0,0,1,0,0
"5. ""Just remember, actions have consequences, even if you don't see them coming.""",1,0,0,1,0,0
"1. ""I'll hunt you down and make you regret ever logging into this game.""",1,0,0,1,0,0
"2. ""Keep it up, and I'll dox you and make your life a living hell.""",1,0,0,1,0,0
"3. ""I'll make sure you never play this game again by any means necessary.""",1,0,0,1,0,0
"4. ""Cross me again, and I'll find where you live and teach you a lesson in person.""",1,0,0,1,0,0
"5. ""I'll make sure you suffer every time you log in, just watch.""",1,0,0,1,0,0
"""I'll make sure you regret crossing me.""",1,0,0,1,0,0
"""Watch your back, I'm coming for you.""",1,0,0,1,0,0
"""You won't like what happens next if you don't back off.""",1,0,0,1,0,0
"""I'll make sure you pay for this.""",1,0,0,1,0,0
"""Keep pushing me and see what happens.""",1,0,0,1,0,0
"""I'll destroy everything you care about.""",1,0,0,1,0,0
"""I'll make you wish you never messed with me.""",1,0,0,1,0,0
"""You're playing with fire, and you're going to get burned.""",1,0,0,1,0,0
1. I'll break your bones if you don't watch your back.,1,0,0,1,0,0
2. I'll make sure you regret crossing me with a visit from my fists.,1,0,0,1,0,0
"3. If I see you again, you'll be in for a world of pain.",1,0,0,1,0,0
4. I'll make you wish you never even existed with the beating I'll deliver.,1,0,0,1,0,0
"5. If you don't back off, I'll show you what real violence looks like.",1,0,0,1,0,0
"""If you don't stop talking, then I'll make sure you regret it.""",1,0,0,1,0,0
"""If you keep pushing me, then I'll show you what real pain feels like.""",1,0,0,1,0,0
"""If you don't back off, then I'll make sure you never bother anyone again.""",1,0,0,1,0,0
"1. ""You better watch your back, karma has a way of catching up to people like you.""",1,0,0,1,0,0
"2. ""I wouldn't want to be in your shoes when the truth comes out.""",1,0,0,1,0,0
"3. ""Be careful who you trust, secrets have a way of getting out.""",1,0,0,1,0,0
"4. ""It might not be wise to push me too far, you never know what could happen.""",1,0,0,1,0,0
"5. ""Remember, what goes around comes around.""",1,0,0,1,0,0
"1. ""I'll find out where you live and make sure you regret ever logging into this game.""",1,0,0,1,0,0
"2. ""Keep it up and I'll make sure you never play another game again.""",1,0,0,1,0,0
"3. ""I'll hack your account and wipe out all your progress if you don't watch yourself.""",1,0,0,1,0,0
